,Age,BusinessTravel,DailyRate,DistanceFromHome,Education,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
0,41,2,1102,1,2,1,1,2,0,94,3,2,4,5993.0,19479,8.0,11,3.0,1,80,0,8.0,0,1,6.0,4.0,0.0,5.0,1
1,49,1,279,8,1,1,2,3,1,61,2,2,2,5130.0,24907,1.0,23,3.0,4,80,1,10.0,3,3,10.0,7.0,1.0,7.0,0
2,37,2,1373,2,2,1,4,4,1,92,2,1,3,2090.0,2396,6.0,15,3.0,2,80,0,7.0,3,3,0.0,0.0,0.0,0.0,1
3,33,1,1392,3,4,1,5,4,0,56,3,1,3,2909.0,23159,1.0,11,3.0,3,80,0,8.0,3,3,8.0,7.0,3.0,0.0,0
4,27,2,591,2,1,1,7,1,1,40,3,1,2,3468.0,16632,8.5,12,3.0,4,80,1,6.0,3,3,2.0,2.0,2.0,2.0,0
5,32,1,1005,2,2,1,8,4,1,79,3,1,4,3068.0,11864,0.0,13,3.0,3,80,0,8.0,2,2,7.0,7.0,3.0,6.0,0
6,59,2,1324,3,3,1,10,3,0,81,4,1,1,2670.0,9964,4.0,20,3.0,1,80,3,12.0,3,2,1.0,0.0,0.0,0.0,0
7,30,2,1358,24,1,1,11,4,1,67,3,1,3,2693.0,13335,1.0,22,3.0,2,80,1,1.0,2,3,1.0,0.0,0.0,0.0,0
8,38,1,216,23,3,1,12,4,1,44,2,3,3,9526.0,8787,0.0,21,3.0,2,80,0,10.0,2,3,9.0,7.0,1.0,8.0,0
9,36,2,1299,27,3,1,13,3,1,94,3,2,3,5237.0,16577,6.0,13,3.0,2,80,2,17.0,3,2,7.0,7.0,7.0,7.0,0
10,35,2,809,16,3,1,14,1,1,84,4,1,2,2426.0,16479,0.0,13,3.0,3,80,1,6.0,5,3,5.0,4.0,0.0,3.0,0
